6580,6540,32134
6560,6615,7057
6560,6455,7210
6615,6343,7115
6848,6339,6596
7649,6351,6485
7794,6380,6725
6425,6321,7137
6595,6608,26401
6662,6573,7354
6497,6348,7106
6343,6346,7141
6346,6352,7103
6349,6360,6379
6375,6368,6371
6355,6318,7112
6656,6458,21535
6630,6336,6880
6356,100785451,6687
6350,6356,6810
6339,6350,7135
6340,6281,6669
6374,6368,6698
6355,6313,6918
6532,-8259641994887661870787497012521824249535946313085580345711476179236513265569474425202409472,0
6346,-677751568838365860713462947967184484171776,1340703872017642571966977111880054366739199482180391198418217874056045821689856
6551,0,-42210611796434934623027278687974263550443919353691790957037679039179135607174251298912428838495636322308366022796253959358085688270101463974430402350521646096999893863749417768340308044884695488228426655785825540237115422759701587901368160770588672
6358,0,0
0,5968494324959433457060766454109596210491053073069855375136585427156406163172462041708700356602239306882542191546063285001293861737092279284003453683980801560818123360291215810002709185618856201393643735206343138691181477066039845598056646267795085230753366898791555696427008,70890690484182502103032500363794023002917584064697485481592651795658388336210203047961139951367145309953890789365115480215967606814638514632234475989792169734100507641332652303415148684509184
0,0,0
0,0,0
-14643280251062185435057763037160766144163807625872746606619360146017950942464311296,174224716639252770024843203603058567865046904981437437483852940301024891343798797956358699892345062035101402906091339719607985007670224673571517380266639530861378737329405952,0
863798606379552189573251726268303643151810855364270873543681221050691877722945812250639646627031797371314483223613575587688939701942994975199569213659017657176868976410193564381422288896,52063864291650510235103755680106121942708667606240332322112919170060463508260840257207726056001457920414649955246457912992559759359883520188883105270258773990566964771996966434355702564051492813343899553351233277691691008,0
0,0,0
0,0,-349410808288084856658180323682974134376684938809730500201288493013401600
417192315730435675376141054657874973392800047810463102391057080075157504,1141483946295644482483075698416259663871678145792637175108943612940690011195912730347819328438458916397654586045109634537335119769763840,0
0,273589216301564909063436326583986112904576304393477588748963191445872158206936242589473732606020195485243180195551948691255036490665873076071812481017386463261850017447202585326812704668000404088146189933697198035526920698220473270663118848,0
0,0,0
0,0,125575255001943949023497445744525171751913726060531527087354921476747329633499833848196884246998851265993401192497404190627588461678440488448793763145011422165788644443994985357956982775302913706020756844076476100642155827676604417633694743975339044934919897670560597152922515118489600
0,0,-5538481955530672883205478393183389476681003656084202177366182306435274931332235225245231879570791071744
0,0,-101640591933669490394698631849592301874574204313919038324570918355824602511826375182706353715657161979193505955658062024580229478752399523126593505817259325249125684770504704
0,0,0
0,0,0
-21,250505274250760328961412530323417691175519768831925728989681935443848144718517715315091931828303863732463125701591040,447121504476747329607087072937724875483637944127559713365840945807436231240373359056801586893918779481099678115142418652470597938489739447944212256277815361386477372342721259258274326453596423120307395086402977792
0,8717231072409184612147499354737548643048589509893131263992135680,0
-23372964152242368333642802595369371027678283675929609735471890696502779859176126493987057108345920603149451311005850694157050941843650035600905103692756622592686973359441147212537057151651151718569009096592300513253526452253628423793999708840171936263059104281425675635206332577610727424,10614351014151918126573832594320824301875481599685777834033472569056248419924954831571296162250312316464271693855204930204260218580171922231512351632547271612101720088900762219823205205406917904757663941649393260270962877635970787585651428338558013069814550219895466123656071448560149663123526699582488576,2255127740587199612143907691132130845790098145364699040753776978775190310687385550764265212356141767585584903937490496560827514795044705405815878582272
28070161040841935111199730390357931717793557183975504251064765733873235883678035999531438360872376958429623419929082680884553924886251730212905522452973240613536251520459307277042138205217997905711356097553326967082375190682020673979255232093360617064326786405444029043511281351796220946808832,-10987346893095401871805300070680373493760,1593589869748431233517735938342281041418221258502568478227600850536598973457048308022541611648809059134076592764562035441664
-2232110356270707179551047077893587591245435362658649151805779431399705509575848707352402018645155485566462955880448,0,0
0,0,75486043356441301507773663621515268950498255002245385279952842636926711293717207425904690290092833594666798460678285715832856220394323968
0,-88588154999407853363232143999775103686394383661011131918243134983523973027943035438097362807222000554186150313953233523613630464,1661794755967103094566842329833565952854308681248722165613520919983982613889024
0,-1197070235196933312005769667875630786448786249133939353401164244763329287001660704444808687593004736914586108783413621699820334486849411229715267584,-467631713713501654442414344872044619733866659574818619847631391344335779666400072768352861997279407448814980401939207205257115275302552537719186330934904260189988545588196148969996288
0,-715376121783995858944,0
-5422387384572980706267532172379520992248514740224,21961675421912744285702562589174625794987980481153229466935035825265014320029450199686322927210104359147018088546736716613264034702274074550541521196366577549363376468368716423863018837303185480660623742319296229558255240712245466280003790957665841053696,138330244029190504448
-18520671278417598606315568321820868691352128415851780461780226318948453714303411266584724240240673811173736448,0,1737255086778971771696030965427618784697738058365847949970032840309184706847222752402755581874612334196005535331539404208472064
0,0,0
1339029742098036203904475703526872166957056,0,0
4210943251688957880028740799037762910614074612840934974233006591803463916976333777899966968860220428274156174734028791279891697481311976254938079564900377434966058609019660919587639359850718134984195171190314960801351870703190985724490843449945828371137018372587292551282688,0,0
0,0,-317996783561724206086556160575284487454033287704570437215920583681769472
0,0,0
-24429073154833233195485984206876127761056649709617152,0,0
0,0,18796528759099926093406602955496654154908502589440
1737214448460409254019530104609192969663763918005142500888237382960347237206483533824,13806441011690701415374315907647887237786683367183322824965480368433071490295192879104,258532408695809125331912569863917200475402270783661435118904879002291720942590642548677146755163684260008048821949645725537946271223654502730970206297964914514166101241417691942114119598772380880536088291234090053540362806936471856696582639447362246775393826040572834289141541765120
0,-13079915834877907658508052091123136470025524761555979023164414443797159986471652172598515755498985322009848081357417015359564871839231748773793795429124937223991389570038386807144635103369678509396747000435738876003893430085349734156561509856414162163930276662715313291264,0
22831595022780946676065769565068054573640175471376606285822478073575139452801239761293421035560931079941979279882012590080,-86584930030299885906306578930257696245525995681839624371197152321858956527137407481728271134448039334656861308175357796433959543880705802140221299512245388329716509817690079972912054942297978322681831191947384927174395700754056808143298754280515486567074552031758450190774033176526091913342886053524784807936,0
